question,answer
Quy định đào tạo thạc sĩ được ban hành theo quyết định số mấy?,Quyết định số 606/QĐ-ĐHBK-ĐTSĐH ngày 14/03/2019.
Mục tiêu đào tạo trình độ thạc sĩ là gì?,"Giúp học viên bổ sung, cập nhật và nâng cao kiến thức chuyên ngành, có khả năng nghiên cứu và làm việc độc lập."
Thời gian đào tạo chính thức của khóa đào tạo thạc sĩ là bao lâu?,2 năm.
Học viên có thể kéo dài thời gian đào tạo tối đa bao lâu?,Tối đa 4 năm (8 học kỳ).
Học phí được đóng khi nào?,Vào các thời điểm quy định của từng học kỳ.
Chương trình đào tạo thạc sĩ có tổng cộng bao nhiêu tín chỉ?,60 tín chỉ.
Một tín chỉ tương đương với bao nhiêu tiết học lý thuyết?,15 tiết giảng lý thuyết.
Một tín chỉ có bao nhiêu tiết thực hành?,"30 tiết thực hành, thí nghiệm hoặc thảo luận."
Một tín chỉ có bao nhiêu tiết thực tập hoặc luận văn?,"45 tiết thực tập tại cơ sở, tiểu luận, bài tập lớn hoặc luận văn."
Học viên cần bao nhiêu thời gian tự học mỗi tuần cho một tín chỉ?,Khoảng 2 – 4 tiết mỗi tuần.
Môn học bao gồm những thành phần nào?,"Lý thuyết, thực hành, tiểu luận."
Thời lượng tối thiểu của môn học là bao nhiêu tín chỉ?,2 tín chỉ.
Tỷ lệ tối thiểu phần thực hành trong môn học là bao nhiêu?,Tối thiểu 25% thời lượng môn học.
Chương trình đào tạo thạc sĩ ứng dụng bao gồm bao nhiêu tín chỉ luận văn?,12 tín chỉ.
Chương trình đào tạo thạc sĩ nghiên cứu bao gồm bao nhiêu tín chỉ luận văn và báo cáo khoa học?,24 tín chỉ.
Thạc sĩ nghiên cứu cần có bài báo như thế nào để đủ điều kiện bảo vệ luận văn?,Phải là tác giả chính của ít nhất một công bố khoa học liên quan đến nội dung luận văn.
Khối kiến thức bổ sung dành cho đối tượng nào?,Dành cho học viên tốt nghiệp đại học ngành gần.
Phần kiến thức chung bao gồm những môn học nào?,"Triết học, Ngoại ngữ và các môn học chung."
Điều kiện để miễn học phí là gì?,Được xét theo các quy định hiện hành và từng trường hợp cụ thể.
Thời gian đào tạo của một học kỳ là bao lâu?,Thông thường là 6 tháng.
Học viên có thể tạm dừng học bao lâu?,Tối đa 1 năm.
Điều kiện bảo vệ luận văn gồm những gì?,"Hoàn thành chương trình đào tạo, có điểm trung bình tích lũy từ 5.5 trở lên, và được ít nhất 1 cán bộ phản biện đồng ý."
Điều kiện miễn thi cuối kỳ là gì?,"Hoàn thành xuất sắc phần bắt buộc của môn học, đạt điểm cao và có báo cáo chuyên đề."
Các hình thức thi kết thúc môn học là gì?,"Tự luận, trắc nghiệm hoặc vấn đáp."
Điểm tổng kết môn học đạt yêu cầu là bao nhiêu?,Từ 5.5 trở lên.
"Nếu luận văn không đạt, học viên có thể bảo vệ lại mấy lần?","1 lần, sau 3-6 tháng."
Học viên có được cải thiện điểm không?,"Có, bằng cách học lại môn học."
Ai có quyền hướng dẫn luận văn thạc sĩ?,"Giảng viên có bằng Tiến sĩ trở lên, hoặc có chức danh PGS/GS."
Một giảng viên được hướng dẫn tối đa bao nhiêu học viên?,"Tùy trình độ: GS - 7 học viên, PGS/TSKH - 5, TS - 3."
Nhiệm vụ của giảng viên là gì?,"Giảng dạy, hướng dẫn luận văn, tư vấn, nghiên cứu, cập nhật kiến thức."
Nhiệm vụ của học viên là gì?,"Thực hiện chương trình học, nộp luận văn đúng hạn, trung thực và tôn trọng nội quy."
Giảng viên có được hướng dẫn luận văn theo hướng ứng dụng không?,"Có, nếu có trình độ thạc sĩ từ 3 năm trở lên và kinh nghiệm 15 năm thực tế."
Luận văn phải được ai duyệt để được bảo vệ?,Ít nhất một cán bộ phản biện phải đồng ý.
Thành phần Hội đồng đánh giá luận văn gồm những ai?,"Chủ tịch, 2 phản biện, thư ký và ủy viên."
Chênh lệch điểm giữa các thành viên hội đồng tối đa là bao nhiêu?,Không vượt quá 2 điểm so với trung bình cộng.
"Điều kiện sử dụng thư viện, phòng thí nghiệm là gì?",Là học viên chính thức của trường.
Học viên có được quyền chọn môn học từ ngành khác không?,"Có, tối đa 6 tín chỉ nếu được Khoa chấp thuận."
Có được đăng ký môn học từ cơ sở khác thuộc ĐHQG-HCM không?,"Có, tối đa 15% tín chỉ lựa chọn."
Điều kiện đăng ký chương trình thạc sĩ nghiên cứu là gì?,"Tốt nghiệp loại khá, có giấy cam kết làm việc 50% thời gian tại trường."
Miễn học môn học như thế nào?,Có chứng chỉ hợp lệ trong vòng 3 năm hoặc đã học rồi.
Học viên bị buộc thôi học khi nào?,"Cảnh báo học vụ 2 lần, giả mạo giấy tờ, đi thi hộ,..."
